country,city,name,is_separated,beach_id,__v,blue_flag,additional_info.beach_phone,additional_info.fee,additional_info.parking,accessible,disabilities_status,additional_info.bathroom,additional_info.visitor_center,additional_info.dog_friendly,additional_info.strollers,additional_info.picnic,additional_info.camping_friendly,additional_info.sandy,additional_info.dunes,additional_info.rocky,additional_info.bluff,additional_info.stairstobeach,additional_info.pathtobeach,additional_info.blufftoop_trails,additional_info.blufftoop_park,additional_info.wildlife,additional_info.tidepool,additional_info.volleyball,additional_info.fishing_friendly,additional_info.boat_friendly,additional_info.geo_area,lat,lon,additional_info.beach_photo1,additional_info.beach_photo2,additional_info.beach_photo3,additional_info.beach_photo4,additional_info.beach_wheelchair,bike_path,additional_info.boatfacil,
United States,Newport County,Easton's Beach (First Beach),FALSE,1862,1862,FALSE,(401) 845-5810,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,Newport,41.4878,-71.2918,https://assets.simpleviewinc.com/simpleview/image/upload/c_fill%2Ch_457%2Cq_50%2Cw_810/v1/crm/rhodeisland/140-3-1887_4921d7c5-6335-420e-b63e-6c5cbc5070d4_40a21a29-5056-a36a-09b95ace5643505e.jpg,,,,Accessible Beach Wheelchairs Available,TRUE,,
United States,Newport County,Sachuest Beach (Second Beach),FALSE,1863,1863,FALSE,(401) 849-2822,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,TRUE,,,TRUE,FALSE,Middletown,41.4886,-71.2561,,,,,,FALSE,,
United States,Newport County,Third Beach,FALSE,1864,1864,FALSE,(401) 842-6522,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,TRUE,Middletown,41.4898,-71.248,,,,,,FALSE,Boat Ramp,
United States,Newport County,King Park Beach,FALSE,1865,1865,FALSE,(401) 845-5300,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,,,TRUE,TRUE,Newport,41.4795,-71.3177,,,,,,FALSE,,
United States,Newport County,Gooseberry Beach,FALSE,1866,1866,FALSE,(401) 847-7922,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,FALSE,,,FALSE,FALSE,Newport,41.4602,-71.3211,,,,,,FALSE,,
United States,Newport County,Goosewing Beach,FALSE,1867,1867,FALSE,(401) 331-7110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,TRUE,,,TRUE,FALSE,Little Compton,41.4775,-71.1735,,,,,,FALSE,,
United States,Newport County,Sandy Point Beach,FALSE,1868,1868,FALSE,(401) 787-0281,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,,TRUE,FALSE,Portsmouth,41.641,-71.2403,,,,,,FALSE,,
United States,Newport County,Fogland Beach,FALSE,1869,1869,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,TRUE,,,TRUE,TRUE,Tiverton,41.5387,-71.2009,,,,,,FALSE,,
United States,Newport County,Grinnell's Beach,FALSE,1870,1870,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,,FALSE,,,,,,,,,,,Tiverton,41.6361,-71.2062,,,,,,FALSE,,
United States,Newport County,South Shore Beach,FALSE,1871,1871,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,Little Compton,41.4712,-71.1795,,,,,,FALSE,,
